Updates (000),Trades (000),Price Changes (000),Price (USD),Spread (bps),Volume (USD MM),Tick Size
204.118,1.73,10.763,68.60298385824072,1.7683850278392181,9.71658078,0.8315349632787766
322.949,2.804,18.849,69.01334917391685,1.9186028124409986,14.560785935,0.7514383040228777
248.653,2.643,14.638,68.50032236692302,1.8980187938871762,14.26263395,0.7476605944751508
227.699,2.852,10.686,68.97606022313897,1.7807298386820365,18.43866757,0.8259643490451636
224.362,2.849,9.943,68.72090032475054,1.7696693381917448,17.156600949999998,0.8205521048937644
293.429,3.329,14.808,67.21625813681109,1.8963334824185536,20.064014954999998,0.7512259016484916
243.859,3.264,10.345,67.6601996981033,1.7690975963350173,19.289526459999998,0.8155381877370584
237.779,2.664,13.018,68.0008642591607,1.8809727946521,14.12628391,0.7698057216225596
164.286,1.87,7.751,67.76043522818769,1.7910285635212568,10.028365529999999,0.8622713913507876
261.663,3.26,17.372,67.0715774579106,2.030095090126936,18.819715225000003,0.7277080866438292
226.125,2.564,8.439,67.169742179495,1.7315800095224931,14.473473145,0.8583711941458546
210.134,2.712,8.529,67.29229971251519,1.7110367673662668,16.32199565,0.8621631938725733
236.832,2.491,15.571,67.37099165982701,1.9450171743548406,14.82527725,0.7295441919270708
204.491,2.383,13.0,68.34059626305243,1.9506733115358497,14.751748935,0.7472904133835094
152.443,2.603,7.068,68.94494350690353,1.6829678483676662,15.952390155,0.9013528889918521
222.228,2.542,13.105,69.04307364265318,1.9328854924443108,15.141131074999999,0.7551865399126827
175.439,8.033,30.162,70.24062275152946,3.1075094027154058,56.61686655500001,0.3920413143652148
136.868,2.07,10.413,69.21816051183283,1.9834938169822143,12.554802424999998,0.725206212070926
144.328,1.675,11.303,69.85981937844313,1.8815502350042441,9.806355120000001,0.7590815138065787
126.998,2.373,8.153,70.00559862903276,1.7733813569404622,13.693663705,0.7950357795014185
123.489,2.365,9.053,70.03385082671534,1.9201340016797175,15.767676939999998,0.7252314446909592
147.501,2.609,12.215,70.6578892152245,1.8693096851544868,15.14897916,0.732641225524657
106.855,1.719,6.904,70.04748947928003,1.7332788740444725,11.00160688,0.8234570048309606
105.34,2.175,7.085,69.88906324830974,1.9144706242310765,11.470201484999999,0.7776724441323614
